id,name,status,species,type,gender,origin.name,location.name
332,Stacy,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
333,Stair Goblin,Alive,Alien,Stair goblin,Genderless,unknown,Fantasy World
334,Stealy,Alive,Poopybutthole,,Male,unknown,Interdimensional Cable
335,Steve,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
336,Steven Phillips,Alive,Alien,Unknown-nippled alien,Male,Unity's Planet,Unity's Planet
337,Stu,Dead,Alien,Zigerion,Male,unknown,Zigerion's Base
338,Summer Smith,Alive,Human,,Female,Earth (C-137),Earth (C-137)
339,Summer Smith,Alive,Human,,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension)
340,Supernova,Alive,Human,Superhuman,Female,unknown,Worldender's lair
341,Taddy Mason,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
342,Taint Washer,Alive,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
343,Tammy Guetermann,Alive,Cronenberg,,Male,Earth (C-137),Earth (C-137)
344,Tammy Guetermann,Alive,Human,,Female,Earth (Replacement Dimension),unknown
345,Teacher Rick,Alive,Human,,Male,unknown,Citadel of Ricks
346,Terry,unknown,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
347,The President,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
348,The President of the Miniverse,Dead,Humanoid,Miniverse inhabitant,Male,Zeep Xanflorp's Miniverse,Zeep Xanflorp's Miniverse
349,The Scientist Formerly Known as Rick,Dead,Human,,Male,unknown,unknown
350,Thomas Lipkip,unknown,Human,,Male,Earth (Replacement Dimension),Froopyland
351,Three Unknown Things,Alive,Alien,,unknown,unknown,Interdimensional Cable
352,Tinkles,Dead,Alien,"Parasite, Unicorn lamb",Female,unknown,Earth (Replacement Dimension)
353,Tiny Rick,Dead,Human,Clone,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
354,Toby Matthews,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
355,Todd Crystal,Alive,Alien,Unknown-nippled alien,Male,Unity's Planet,Unity's Planet
356,Tom Randolph,Alive,Human,,Male,Earth (C-137),Earth (C-137)
357,Tommy's Clone,Alive,Human,Clone,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
358,Tophat Jones,Dead,Humanoid,Leprechaun,Male,unknown,Interdimensional Cable
359,Tortured Morty,unknown,Human,,Male,unknown,Citadel of Ricks
360,Toxic Morty,Dead,Humanoid,Morty's toxic side,Male,Detoxifier,Earth (Replacement Dimension)
361,Toxic Rick,Dead,Humanoid,Rick's toxic side,Male,Detoxifier,Earth (Replacement Dimension)
362,Traflorkian,Alive,Alien,Traflorkian,unknown,unknown,Worldender's lair
363,Trandor,Alive,Alien,Krootabulan,Male,Krootabulon,Earth (Replacement Dimension)
364,Tree Person,Dead,Humanoid,Teenyverse inhabitant,unknown,Kyle's Teenyverse,Kyle's Teenyverse
365,Tricia Lange,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
366,Trunk Morty,Alive,Humanoid,Trunk-Person,Male,Trunk World,Citadel of Ricks
367,Trunk Man,Alive,Humanoid,Trunk-Person,Male,Trunk World,Interdimensional Cable
368,Truth Tortoise,unknown,Animal,Omniscient being,Male,unknown,unknown
369,Tusked Assassin,unknown,Alien,Tuskfish,Male,Resort Planet,Resort Planet
370,Two Guys with Handlebar Mustaches,Alive,Human,,Male,unknown,Interdimensional Cable
371,Tumblorkian,Alive,Alien,Tumblorkian,Male,Plopstar,Plopstar
372,Unity,Alive,Alien,Hivemind,Genderless,unknown,Unity's Planet
373,Unmuscular Michael,Alive,Human,,Male,unknown,Interdimensional Cable
374,Vampire Master,Alive,Vampire,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
375,Vance Maximus,Dead,Human,,Male,unknown,Worldender's lair
376,Veronica Ann Bennet,Alive,Alien,Gazorpian,Female,Gazorpazorp,Gazorpazorp
377,Voltematron,Dead,Alien,Parasite,unknown,unknown,Earth (Replacement Dimension)
378,Wall Crawling Rick,unknown,Humanoid,Lizard-Person,Male,unknown,Citadel of Ricks
379,Wedding Bartender,unknown,Alien,,Male,unknown,Planet Squanch
380,Weird Rick,unknown,Human,,Male,unknown,unknown
381,Woman Rick,Alive,Alien,Chair,Female,unknown,unknown
382,Worldender,Dead,Alien,,Male,unknown,Worldender's lair
383,Yaarb,Alive,Alien,,Male,unknown,St. Gloopy Noops Hospital
384,Yellow Headed Doctor,Alive,Alien,,Male,unknown,St. Gloopy Noops Hospital
385,Yellow Shirt Rick,unknown,Human,,Male,unknown,Citadel of Ricks
386,Zarbadar Gloonch,Dead,Alien,Drumbloxian,Female,unknown,Nuptia 4
387,Zarbadar's Mytholog,unknown,Mytholog,,Female,Nuptia 4,Nuptia 4
388,Zeep Xanflorp,Alive,Humanoid,Microverse inhabitant,Male,Rick's Battery Microverse,Rick's Battery Microverse
389,Zeta Alpha Rick,Dead,Human,,Male,unknown,Citadel of Ricks
390,Zick Zack,Dead,Alien,Floop Floopian,Male,unknown,Earth (Replacement Dimension)
391,Uncle Steve,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension)
392,Bearded Morty,Alive,Human,,Male,unknown,Citadel of Ricks
393,Roy,Alive,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived
394,Davin,Dead,Cronenberg,,Male,Earth (C-137),Earth (C-137)
395,Greebybobe,Alive,Alien,Greebybobe,unknown,Girvonesk,Worldender's lair
396,Scary Teacher,Alive,Humanoid,Monster,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream
397,Fido,Alive,Animal,Dog,Male,Snuffles' Dream,Snuffles' Dream
398,Accountant dog,Alive,Animal,Dog,Male,Snuffles' Dream,Snuffles' Dream
399,Tiny-persons advocacy group lawyer,Alive,Humanoid,Giant,Male,Giant's Town,Giant's Town
400,Giant Judge,Alive,Humanoid,Giant,Male,Giant's Town,Giant's Town
401,Morty Jr's interviewer,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
402,Guy from The Bachelor,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
403,Corn detective,Dead,Humanoid,Corn-person,Male,Interdimensional Cable,Interdimensional Cable
404,Michael Jackson,Alive,Humanoid,Phone-Person,Male,Earth (Phone Dimension),Earth (Phone Dimension)
405,Trunkphobic suspenders guy,Alive,Human,,Male,unknown,Earth (Replacement Dimension)
406,Spiderweb teddy bear,Alive,Animal,Teddy Bear,unknown,Interdimensional Cable,Interdimensional Cable
407,Regular Tyrion Lannister,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable
408,Quick Mistery Presenter,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable
409,Mr. Sneezy,Alive,Human,Little Human,Male,Interdimensional Cable,Interdimensional Cable
410,Two Brothers,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable
411,Alien Mexican Armada,unknown,Alien,Mexican,Male,Interdimensional Cable,Interdimensional Cable
412,Giant Cat Monster,unknown,Animal,Giant Cat Monster,unknown,Interdimensional Cable,Interdimensional Cable
413,Old Women,unknown,Human,Old Amazons,Female,Interdimensional Cable,Interdimensional Cable
414,Trunkphobic guy,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable
415,Pro trunk people marriage guy,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable
416,Muscular Mannie,Alive,Human,Mannie,Male,Interdimensional Cable,Interdimensional Cable
417,Baby Legs Chief,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable
418,Mrs. Sullivan's Boyfriend,Alive,Human,Necrophiliac,Male,Interdimensional Cable,Interdimensional Cable
419,Plutonian Hostess,Alive,Alien,Plutonian,Female,Pluto,Pluto
420,Plutonian Host,Alive,Alien,Plutonian,Male,Pluto,Pluto
421,Rich Plutonian,Alive,Alien,Plutonian,Female,Pluto,Pluto
422,Rich Plutonian,Alive,Alien,Plutonian,Male,Pluto,Pluto
423,Synthetic Laser Eels,Alive,Animal,Eel,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension)
424,Pizza-person,Alive,Humanoid,Pizza,Male,Earth (Pizza Dimension),Earth (Pizza Dimension)
425,Pizza-person,Alive,Humanoid,Pizza,Male,Earth (Pizza Dimension),Earth (Pizza Dimension)
426,Greasy Grandma,Alive,Human,Grandma,Female,Greasy Grandma World,Greasy Grandma World
427,Phone-person,Alive,Humanoid,Phone,Male,Earth (Phone Dimension),Earth (Phone Dimension)
428,Phone-person,Alive,Humanoid,Phone,Male,Earth (Phone Dimension),Earth (Phone Dimension)
429,Chair-person,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension)
430,Chair-person,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension)
431,Chair-homeless,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension)
432,Chair-waiter,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension)
433,Doopidoo,Alive,Animal,Doopidoo,unknown,unknown,unknown
434,Super Weird Rick,unknown,Human,,Male,unknown,unknown
435,Pripudlian,Alive,Alien,Pripudlian,unknown,unknown,Earth (Replacement Dimension)
436,Giant Testicle Monster,Alive,Animal,Monster,unknown,Testicle Monster Dimension,Testicle Monster Dimension
437,Michael,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
438,Michael's Lawyer,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
439,Veterinary,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
440,Veterinary Nurse,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
441,Bearded Jerry,Alive,Human,,Male,unknown,Jerryboree
442,Shaved Head Jerry,Alive,Human,,Male,unknown,Jerryboree
443,Tank Top Jerry,Alive,Human,,Male,unknown,Jerryboree
444,Pink Polo Shirt Jerry,Alive,Human,,Male,unknown,Jerryboree
445,Jerryboree Keeper,Alive,Alien,,Female,unknown,Jerryboree
446,Jerryboree Receptionist,Alive,Alien,,Male,unknown,Jerryboree
447,Anchor Gear,Alive,Alien,Gear-Person,Male,Gear World,Gear World
448,Gear Cop,Dead,Alien,Gear-Person,Male,Gear World,Gear World
449,Roy's Mum,Alive,Human,Game,Female,Roy: A Life Well Lived,Roy: A Life Well Lived
450,Roy's Wife,Alive,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived
451,Roy's Son,Alive,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived
452,Simon,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
453,Vampire Master's Assistant,Alive,Vampire,,Male,unknown,Earth (Replacement Dimension)
454,Arbolian Mentirososian,Alive,Alien,,unknown,Árboles Mentirosos,St. Gloopy Noops Hospital
455,St. Gloopy Noops Nurse,Alive,Alien,,Female,unknown,St. Gloopy Noops Hospital
456,Nano Doctor,Alive,Alien,Nano Alien,Male,unknown,St. Gloopy Noops Hospital
457,Funny Songs Presenter,Alive,Human,,Male,unknown,Interdimensional Cable
458,Tax Attorney,unknown,Human,,Male,unknown,Interdimensional Cable
459,Butthole Ice Cream Guy,Alive,Alien,,Male,unknown,Interdimensional Cable
460,Traflorkian Journalist,Alive,Alien,Traflorkian,Male,unknown,St. Gloopy Noops Hospital
461,Communication's Responsible Rick,Dead,Human,,Male,unknown,Citadel of Ricks
462,Teleportation's Responsible Rick,unknown,Human,,Male,unknown,Citadel of Ricks
463,SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks
464,SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks
465,SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks
466,SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks
467,Morphizer-XE Customer Support,Alive,Alien,,Male,unknown,Earth (Replacement Dimension)
468,Morphizer-XE Customer Support,Alive,Alien,,Male,unknown,Earth (Replacement Dimension)
469,Morphizer-XE Customer Support,unknown,Alien,,Male,unknown,Earth (Replacement Dimension)
470,Alien Spa Employee,Alive,Alien,,Male,unknown,Alien Day Spa
471,Little Voltron,Alive,Robot,,Genderless,unknown,Earth (Replacement Dimension)
472,Baby Rick,Alive,Human,Clone,Male,Citadel of Ricks,Citadel of Ricks
473,Bartender Morty,Alive,Human,,Male,unknown,Citadel of Ricks
474,Dancer Cowboy Morty,Alive,Human,,Male,unknown,Citadel of Ricks
475,Dancer Morty,Alive,Human,,Male,unknown,Citadel of Ricks
476,Flower Morty,Alive,Human,Human with a flower in his head,Male,unknown,Citadel of Ricks
477,Hairdresser Rick,Alive,Human,,Male,unknown,Citadel of Ricks
478,Journalist Rick,Alive,Human,,Male,unknown,Citadel of Ricks
479,Private Sector Rick,Dead,Human,,Male,unknown,Citadel of Ricks
480,Purple Morty,Alive,Alien,,Male,unknown,Citadel of Ricks
481,Retired General Rick,unknown,Human,,Male,unknown,Citadel of Ricks
482,Secret Service Rick,Alive,Human,,Male,unknown,Citadel of Ricks
483,Steve Jobs Rick,Alive,Human,,Male,unknown,Citadel of Ricks
484,Sheik Rick,Dead,Human,,Male,unknown,Citadel of Ricks
485,Modern Rick,Alive,Human,,Male,unknown,Citadel of Ricks
486,Tan Rick,Dead,Human,,Male,unknown,Citadel of Ricks
487,Visor Rick,Dead,Human,,Male,unknown,Citadel of Ricks
488,Colonial Rick,Dead,Human,,Male,unknown,Citadel of Ricks
489,P-Coat Rick,Dead,Human,,Male,unknown,Citadel of Ricks
490,Chang,Alive,Human,,Male,unknown,The Menagerie
491,Dr. Eleanor Arroway,Alive,Human,,Female,unknown,The Menagerie
492,Varrix,Alive,Alien,,unknown,unknown,Earth (Replacement Dimension)
493,Secretary of the Interior,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
